user_id,session_id,event_time,event_type,product_category,device_type,traffic_source
14,S00014,2025-06-14 20:03:00,add_to_cart,Fashion,Desktop,Email
14,S00014,2025-06-14 20:05:00,purchase,Beauty,Desktop,Email
15,S00015,2025-03-16 20:07:00,visit,Beauty,Tablet,Organic
15,S00015,2025-03-16 20:09:00,product_view,Electronics,Desktop,Social
16,S00016,2025-01-20 21:24:00,visit,Fashion,Mobile,Paid Search
16,S00016,2025-01-20 21:27:00,product_view,Beauty,Mobile,Social
16,S00016,2025-01-20 21:29:00,add_to_cart,Beauty,Tablet,Organic
16,S00016,2025-01-20 21:38:00,purchase,Electronics,Mobile,Paid Search
17,S00017,2025-01-31 06:37:00,visit,Beauty,Desktop,Email
17,S00017,2025-01-31 06:44:00,product_view,Electronics,Mobile,Email
17,S00017,2025-01-31 06:51:00,add_to_cart,Home,Desktop,Social
17,S00017,2025-01-31 07:03:00,purchase,Sports,Tablet,Email
18,S00018,2025-01-29 04:19:00,visit,Fashion,Desktop,Paid Search
19,S00019,2025-04-16 10:28:00,visit,Sports,Mobile,Social
19,S00019,2025-04-16 10:38:00,product_view,Beauty,Tablet,Direct
19,S00019,2025-04-16 10:40:00,add_to_cart,Fashion,Mobile,Direct
19,S00019,2025-04-16 10:54:00,purchase,Fashion,Desktop,Organic
20,S00020,2025-06-21 09:53:00,visit,Sports,Mobile,Direct
20,S00020,2025-06-21 10:03:00,product_view,Electronics,Desktop,Direct
21,S00021,2025-02-27 14:14:00,visit,Home,Mobile,Social
21,S00021,2025-02-27 14:21:00,product_view,Fashion,Tablet,Social
21,S00021,2025-02-27 14:23:00,add_to_cart,Electronics,Desktop,Direct
22,S00022,2025-01-19 04:49:00,visit,Electronics,Tablet,Paid Search
22,S00022,2025-01-19 04:52:00,product_view,Home,Mobile,Paid Search
22,S00022,2025-01-19 04:55:00,add_to_cart,Beauty,Tablet,Social
22,S00022,2025-01-19 05:08:00,purchase,Sports,Mobile,Direct
23,S00023,2025-02-24 12:00:00,visit,Electronics,Mobile,Social
23,S00023,2025-02-24 12:02:00,product_view,Sports,Mobile,Social
23,S00023,2025-02-24 12:06:00,add_to_cart,Home,Mobile,Social
23,S00023,2025-02-24 12:11:00,purchase,Electronics,Mobile,Email
24,S00024,2025-05-31 23:28:00,visit,Home,Mobile,Organic
24,S00024,2025-05-31 23:31:00,product_view,Home,Mobile,Email
25,S00025,2025-03-19 20:35:00,visit,Sports,Mobile,Organic
25,S00025,2025-03-19 20:38:00,product_view,Sports,Mobile,Social
26,S00026,2025-01-27 23:01:00,visit,Beauty,Mobile,Organic
26,S00026,2025-01-27 23:02:00,product_view,Home,Mobile,Paid Search
27,S00027,2025-03-06 09:14:00,visit,Sports,Desktop,Direct
27,S00027,2025-03-06 09:18:00,product_view,Fashion,Mobile,Email
27,S00027,2025-03-06 09:24:00,add_to_cart,Beauty,Tablet,Paid Search
27,S00027,2025-03-06 09:37:00,purchase,Electronics,Desktop,Organic
28,S00028,2025-06-06 07:15:00,visit,Beauty,Mobile,Paid Search
28,S00028,2025-06-06 07:23:00,product_view,Home,Desktop,Paid Search
28,S00028,2025-06-06 07:27:00,add_to_cart,Beauty,Desktop,Social
29,S00029,2025-06-26 00:24:00,visit,Home,Desktop,Direct
29,S00029,2025-06-26 00:33:00,product_view,Home,Mobile,Organic
30,S00030,2025-02-17 13:15:00,visit,Fashion,Tablet,Social
30,S00030,2025-02-17 13:25:00,product_view,Beauty,Desktop,Social
30,S00030,2025-02-17 13:27:00,add_to_cart,Beauty,Tablet,Paid Search
30,S00030,2025-02-17 13:39:00,purchase,Beauty,Mobile,Direct
31,S00031,2025-06-18 11:53:00,visit,Sports,Tablet,Paid Search
31,S00031,2025-06-18 11:55:00,product_view,Home,Tablet,Social
32,S00032,2025-01-23 16:29:00,visit,Home,Tablet,Social
32,S00032,2025-01-23 16:35:00,product_view,Beauty,Tablet,Social
33,S00033,2025-02-04 22:09:00,visit,Beauty,Tablet,Email
33,S00033,2025-02-04 22:12:00,product_view,Sports,Tablet,Social
33,S00033,2025-02-04 22:13:00,add_to_cart,Home,Desktop,Paid Search
33,S00033,2025-02-04 22:23:00,purchase,Sports,Tablet,Social
34,S00034,2025-03-26 15:33:00,visit,Beauty,Desktop,Paid Search
34,S00034,2025-03-26 15:36:00,product_view,Electronics,Desktop,Direct
35,S00035,2025-04-23 17:35:00,visit,Home,Mobile,Paid Search
35,S00035,2025-04-23 17:39:00,product_view,Fashion,Mobile,Organic
35,S00035,2025-04-23 17:47:00,add_to_cart,Sports,Mobile,Email
35,S00035,2025-04-23 17:58:00,purchase,Sports,Mobile,Email
36,S00036,2025-03-31 23:58:00,visit,Beauty,Mobile,Paid Search
36,S00036,2025-03-31 23:59:00,product_view,Electronics,Desktop,Paid Search
36,S00036,2025-04-01 00:07:00,add_to_cart,Electronics,Tablet,Paid Search
37,S00037,2025-01-23 02:13:00,visit,Beauty,Mobile,Email
37,S00037,2025-01-23 02:22:00,product_view,Sports,Desktop,Email
38,S00038,2025-05-11 22:33:00,visit,Sports,Desktop,Direct
38,S00038,2025-05-11 22:36:00,product_view,Beauty,Desktop,Social
39,S00039,2025-06-02 21:25:00,visit,Home,Tablet,Email
39,S00039,2025-06-02 21:30:00,product_view,Beauty,Mobile,Social
39,S00039,2025-06-02 21:36:00,add_to_cart,Home,Tablet,Organic
39,S00039,2025-06-02 21:40:00,purchase,Beauty,Tablet,Paid Search
40,S00040,2025-05-09 14:23:00,visit,Fashion,Mobile,Email
40,S00040,2025-05-09 14:32:00,product_view,Beauty,Desktop,Organic
40,S00040,2025-05-09 14:39:00,add_to_cart,Beauty,Tablet,Organic
41,S00041,2025-05-20 08:56:00,visit,Sports,Desktop,Email
41,S00041,2025-05-20 09:02:00,product_view,Home,Desktop,Email
41,S00041,2025-05-20 09:06:00,add_to_cart,Beauty,Mobile,Social
41,S00041,2025-05-20 09:07:00,purchase,Beauty,Desktop,Email
42,S00042,2025-05-12 19:59:00,visit,Fashion,Desktop,Paid Search
43,S00043,2025-04-08 05:37:00,visit,Electronics,Desktop,Direct
43,S00043,2025-04-08 05:38:00,product_view,Electronics,Tablet,Email
43,S00043,2025-04-08 05:46:00,add_to_cart,Fashion,Mobile,Social
43,S00043,2025-04-08 05:50:00,purchase,Beauty,Desktop,Social
44,S00044,2025-05-19 13:51:00,visit,Beauty,Desktop,Email
44,S00044,2025-05-19 13:53:00,product_view,Beauty,Mobile,Direct
44,S00044,2025-05-19 13:59:00,add_to_cart,Fashion,Tablet,Organic
45,S00045,2025-04-29 15:33:00,visit,Electronics,Mobile,Paid Search
45,S00045,2025-04-29 15:34:00,product_view,Sports,Mobile,Paid Search
45,S00045,2025-04-29 15:36:00,add_to_cart,Sports,Mobile,Email
46,S00046,2025-05-20 14:37:00,visit,Home,Mobile,Direct
46,S00046,2025-05-20 14:39:00,product_view,Fashion,Desktop,Organic
47,S00047,2025-06-19 02:22:00,visit,Home,Tablet,Email
47,S00047,2025-06-19 02:26:00,product_view,Electronics,Tablet,Paid Search
47,S00047,2025-06-19 02:31:00,add_to_cart,Sports,Mobile,Direct
48,S00048,2025-03-05 04:57:00,visit,Sports,Desktop,Social
48,S00048,2025-03-05 05:03:00,product_view,Electronics,Desktop,Email
48,S00048,2025-03-05 05:09:00,add_to_cart,Beauty,Tablet,Paid Search
48,S00048,2025-03-05 05:21:00,purchase,Sports,Tablet,Social
49,S00049,2025-04-23 02:57:00,visit,Sports,Desktop,Email
49,S00049,2025-04-23 03:07:00,product_view,Home,Desktop,Paid Search
50,S00050,2025-01-16 18:38:00,visit,Home,Desktop,Paid Search
50,S00050,2025-01-16 18:48:00,product_view,Sports,Tablet,Email
50,S00050,2025-01-16 18:56:00,add_to_cart,Home,Mobile,Email
50,S00050,2025-01-16 19:09:00,purchase,Home,Desktop,Social
51,S00051,2025-06-10 06:10:00,visit,Sports,Tablet,Social
51,S00051,2025-06-10 06:19:00,product_view,Fashion,Mobile,Paid Search
52,S00052,2025-03-30 22:37:00,visit,Sports,Mobile,Email
52,S00052,2025-03-30 22:45:00,product_view,Beauty,Mobile,Organic
52,S00052,2025-03-30 22:52:00,add_to_cart,Fashion,Desktop,Direct
52,S00052,2025-03-30 23:01:00,purchase,Sports,Desktop,Email
53,S00053,2025-05-16 19:02:00,visit,Sports,Desktop,Social
53,S00053,2025-05-16 19:07:00,product_view,Home,Desktop,Paid Search
53,S00053,2025-05-16 19:11:00,add_to_cart,Home,Mobile,Direct
54,S00054,2025-05-06 15:22:00,visit,Fashion,Mobile,Paid Search
54,S00054,2025-05-06 15:27:00,product_view,Sports,Tablet,Direct
54,S00054,2025-05-06 15:29:00,add_to_cart,Fashion,Desktop,Paid Search
54,S00054,2025-05-06 15:34:00,purchase,Electronics,Tablet,Direct
55,S00055,2025-01-24 01:02:00,visit,Home,Mobile,Organic
55,S00055,2025-01-24 01:05:00,product_view,Beauty,Mobile,Organic
56,S00056,2025-03-27 10:49:00,visit,Beauty,Desktop,Social
56,S00056,2025-03-27 10:50:00,product_view,Home,Desktop,Organic
57,S00057,2025-03-14 22:43:00,visit,Beauty,Mobile,Direct
57,S00057,2025-03-14 22:44:00,product_view,Fashion,Mobile,Direct
58,S00058,2025-01-16 12:09:00,visit,Fashion,Mobile,Direct
58,S00058,2025-01-16 12:19:00,product_view,Sports,Tablet,Paid Search
59,S00059,2025-03-11 05:53:00,visit,Beauty,Desktop,Social
60,S00060,2025-03-20 01:35:00,visit,Home,Tablet,Direct
60,S00060,2025-03-20 01:37:00,product_view,Fashion,Tablet,Paid Search
60,S00060,2025-03-20 01:39:00,add_to_cart,Fashion,Mobile,Paid Search
60,S00060,2025-03-20 01:42:00,purchase,Electronics,Desktop,Email
61,S00061,2025-05-06 11:54:00,visit,Sports,Desktop,Social
61,S00061,2025-05-06 11:59:00,product_view,Home,Tablet,Email
61,S00061,2025-05-06 12:03:00,add_to_cart,Home,Tablet,Direct
62,S00062,2025-06-19 23:15:00,visit,Fashion,Desktop,Organic
62,S00062,2025-06-19 23:18:00,product_view,Home,Mobile,Organic
62,S00062,2025-06-19 23:23:00,add_to_cart,Sports,Tablet,Direct
63,S00063,2025-03-21 22:41:00,visit,Electronics,Desktop,Social
63,S00063,2025-03-21 22:46:00,product_view,Sports,Tablet,Email
63,S00063,2025-03-21 22:47:00,add_to_cart,Beauty,Tablet,Social
63,S00063,2025-03-21 22:48:00,purchase,Electronics,Mobile,Direct
64,S00064,2025-04-17 21:10:00,visit,Electronics,Tablet,Social
64,S00064,2025-04-17 21:13:00,product_view,Beauty,Tablet,Email
65,S00065,2025-02-03 00:56:00,visit,Sports,Desktop,Email
66,S00066,2025-03-27 13:30:00,visit,Home,Desktop,Social
66,S00066,2025-03-27 13:32:00,product_view,Fashion,Desktop,Email
67,S00067,2025-02-22 11:14:00,visit,Beauty,Tablet,Organic
67,S00067,2025-02-22 11:20:00,product_view,Home,Desktop,Organic
68,S00068,2025-03-15 13:52:00,visit,Sports,Mobile,Direct
68,S00068,2025-03-15 13:53:00,product_view,Fashion,Tablet,Social
69,S00069,2025-04-01 17:56:00,visit,Beauty,Mobile,Paid Search
69,S00069,2025-04-01 17:59:00,product_view,Home,Desktop,Email
69,S00069,2025-04-01 18:03:00,add_to_cart,Fashion,Desktop,Direct
69,S00069,2025-04-01 18:10:00,purchase,Electronics,Mobile,Organic
70,S00070,2025-03-26 00:05:00,visit,Electronics,Tablet,Paid Search
70,S00070,2025-03-26 00:10:00,product_view,Sports,Tablet,Social
70,S00070,2025-03-26 00:18:00,add_to_cart,Beauty,Mobile,Email
70,S00070,2025-03-26 00:25:00,purchase,Fashion,Tablet,Direct
71,S00071,2025-05-16 20:36:00,visit,Fashion,Mobile,Social
71,S00071,2025-05-16 20:43:00,product_view,Home,Tablet,Social
72,S00072,2025-02-21 11:44:00,visit,Home,Tablet,Direct
73,S00073,2025-03-31 03:16:00,visit,Fashion,Desktop,Direct
73,S00073,2025-03-31 03:22:00,product_view,Sports,Tablet,Email
73,S00073,2025-03-31 03:28:00,add_to_cart,Fashion,Tablet,Paid Search
73,S00073,2025-03-31 03:32:00,purchase,Beauty,Mobile,Social
74,S00074,2025-05-16 13:39:00,visit,Beauty,Tablet,Email
74,S00074,2025-05-16 13:42:00,product_view,Beauty,Mobile,Paid Search
74,S00074,2025-05-16 13:48:00,add_to_cart,Electronics,Desktop,Organic
74,S00074,2025-05-16 13:56:00,purchase,Electronics,Tablet,Paid Search
75,S00075,2025-03-16 15:13:00,visit,Fashion,Mobile,Email
75,S00075,2025-03-16 15:18:00,product_view,Home,Tablet,Email
76,S00076,2025-06-05 01:25:00,visit,Home,Tablet,Direct
76,S00076,2025-06-05 01:31:00,product_view,Beauty,Tablet,Organic
77,S00077,2025-02-12 17:43:00,visit,Home,Mobile,Organic
77,S00077,2025-02-12 17:45:00,product_view,Electronics,Desktop,Paid Search
78,S00078,2025-06-14 11:07:00,visit,Electronics,Mobile,Social
78,S00078,2025-06-14 11:12:00,product_view,Home,Desktop,Email
78,S00078,2025-06-14 11:19:00,add_to_cart,Sports,Tablet,Paid Search
78,S00078,2025-06-14 11:21:00,purchase,Sports,Desktop,Direct
79,S00079,2025-05-05 08:39:00,visit,Fashion,Desktop,Direct
79,S00079,2025-05-05 08:47:00,product_view,Home,Desktop,Social
80,S00080,2025-06-13 15:23:00,visit,Beauty,Desktop,Direct
80,S00080,2025-06-13 15:31:00,product_view,Home,Tablet,Social
81,S00081,2025-03-19 05:50:00,visit,Home,Desktop,Social
81,S00081,2025-03-19 05:57:00,product_view,Beauty,Mobile,Paid Search
81,S00081,2025-03-19 06:03:00,add_to_cart,Sports,Desktop,Social
81,S00081,2025-03-19 06:17:00,purchase,Beauty,Desktop,Organic
82,S00082,2025-04-14 00:34:00,visit,Electronics,Tablet,Email
83,S00083,2025-06-14 08:58:00,visit,Home,Mobile,Direct
83,S00083,2025-06-14 09:02:00,product_view,Fashion,Tablet,Social
84,S00084,2025-05-12 05:47:00,visit,Fashion,Tablet,Organic
85,S00085,2025-04-28 15:54:00,visit,Electronics,Desktop,Email
85,S00085,2025-04-28 16:00:00,product_view,Fashion,Mobile,Social
85,S00085,2025-04-28 16:07:00,add_to_cart,Fashion,Mobile,Paid Search
86,S00086,2025-06-09 13:18:00,visit,Home,Tablet,Direct
87,S00087,2025-06-01 04:23:00,visit,Fashion,Desktop,Email
88,S00088,2025-02-23 17:29:00,visit,Home,Mobile,Email
89,S00089,2025-01-26 14:58:00,visit,Fashion,Tablet,Email
90,S00090,2025-05-27 11:17:00,visit,Sports,Desktop,Organic
90,S00090,2025-05-27 11:18:00,product_view,Home,Tablet,Organic
90,S00090,2025-05-27 11:23:00,add_to_cart,Sports,Desktop,Social
90,S00090,2025-05-27 11:27:00,purchase,Beauty,Mobile,Direct
91,S00091,2025-06-10 23:16:00,visit,Sports,Desktop,Direct
91,S00091,2025-06-10 23:18:00,product_view,Beauty,Tablet,Social
92,S00092,2025-01-22 05:45:00,visit,Fashion,Mobile,Organic
92,S00092,2025-01-22 05:53:00,product_view,Electronics,Mobile,Paid Search
93,S00093,2025-01-25 16:43:00,visit,Beauty,Desktop,Social
93,S00093,2025-01-25 16:52:00,product_view,Beauty,Tablet,Paid Search
94,S00094,2025-04-30 05:23:00,visit,Electronics,Desktop,Direct
94,S00094,2025-04-30 05:28:00,product_view,Electronics,Tablet,Social
94,S00094,2025-04-30 05:36:00,add_to_cart,Fashion,Desktop,Organic
95,S00095,2025-03-08 20:54:00,visit,Sports,Tablet,Social
95,S00095,2025-03-08 20:59:00,product_view,Fashion,Mobile,Email
95,S00095,2025-03-08 21:03:00,add_to_cart,Sports,Mobile,Organic
96,S00096,2025-02-14 08:10:00,visit,Fashion,Tablet,Paid Search
96,S00096,2025-02-14 08:19:00,product_view,Fashion,Tablet,Paid Search
97,S00097,2025-02-12 09:59:00,visit,Home,Mobile,Direct
97,S00097,2025-02-12 10:02:00,product_view,Fashion,Tablet,Social
98,S00098,2025-01-21 00:16:00,visit,Electronics,Mobile,Organic
98,S00098,2025-01-21 00:20:00,product_view,Sports,Desktop,Organic
98,S00098,2025-01-21 00:21:00,add_to_cart,Fashion,Tablet,Email
98,S00098,2025-01-21 00:33:00,purchase,Electronics,Desktop,Email
99,S00099,2025-05-22 15:12:00,visit,Home,Tablet,Direct
99,S00099,2025-05-22 15:21:00,product_view,Fashion,Tablet,Organic
100,S00100,2025-06-15 10:23:00,visit,Sports,Desktop,Email
100,S00100,2025-06-15 10:24:00,product_view,Electronics,Desktop,Email
100,S00100,2025-06-15 10:26:00,add_to_cart,Beauty,Tablet,Email
100,S00100,2025-06-15 10:28:00,purchase,Home,Tablet,Paid Search
101,S00101,2025-01-12 22:58:00,visit,Fashion,Desktop,Direct
101,S00101,2025-01-12 23:07:00,product_view,Home,Desktop,Direct
101,S00101,2025-01-12 23:15:00,add_to_cart,Sports,Tablet,Email
101,S00101,2025-01-12 23:27:00,purchase,Electronics,Tablet,Direct
102,S00102,2025-05-12 05:23:00,visit,Fashion,Desktop,Email
103,S00103,2025-03-17 07:58:00,visit,Home,Desktop,Email
103,S00103,2025-03-17 08:00:00,product_view,Home,Desktop,Social
104,S00104,2025-03-10 03:20:00,visit,Fashion,Tablet,Email
104,S00104,2025-03-10 03:22:00,product_view,Electronics,Desktop,Organic
105,S00105,2025-03-09 20:07:00,visit,Fashion,Tablet,Organic
105,S00105,2025-03-09 20:16:00,product_view,Sports,Desktop,Organic
105,S00105,2025-03-09 20:23:00,add_to_cart,Electronics,Desktop,Direct
105,S00105,2025-03-09 20:25:00,purchase,Sports,Tablet,Paid Search
106,S00106,2025-01-29 04:01:00,visit,Beauty,Mobile,Organic
106,S00106,2025-01-29 04:10:00,product_view,Home,Mobile,Social
107,S00107,2025-05-27 22:48:00,visit,Beauty,Tablet,Direct
107,S00107,2025-05-27 22:57:00,product_view,Electronics,Tablet,Social
107,S00107,2025-05-27 23:02:00,add_to_cart,Home,Desktop,Social
107,S00107,2025-05-27 23:16:00,purchase,Fashion,Tablet,Email
108,S00108,2025-01-13 16:01:00,visit,Fashion,Tablet,Organic
108,S00108,2025-01-13 16:10:00,product_view,Fashion,Desktop,Email
108,S00108,2025-01-13 16:13:00,add_to_cart,Home,Desktop,Social
109,S00109,2025-04-14 07:51:00,visit,Sports,Mobile,Organic
109,S00109,2025-04-14 08:01:00,product_view,Electronics,Tablet,Organic
109,S00109,2025-04-14 08:08:00,add_to_cart,Beauty,Tablet,Email
109,S00109,2025-04-14 08:12:00,purchase,Sports,Mobile,Social
110,S00110,2025-03-20 06:19:00,visit,Electronics,Desktop,Direct
110,S00110,2025-03-20 06:24:00,product_view,Electronics,Mobile,Email
111,S00111,2025-01-10 23:20:00,visit,Electronics,Mobile,Social
112,S00112,2025-05-20 16:36:00,visit,Fashion,Desktop,Social
112,S00112,2025-05-20 16:37:00,product_view,Beauty,Tablet,Email
112,S00112,2025-05-20 16:44:00,add_to_cart,Sports,Tablet,Paid Search
112,S00112,2025-05-20 16:58:00,purchase,Home,Mobile,Email
113,S00113,2025-06-06 21:06:00,visit,Electronics,Desktop,Organic
113,S00113,2025-06-06 21:08:00,product_view,Home,Tablet,Email
114,S00114,2025-05-10 03:50:00,visit,Beauty,Desktop,Organic
114,S00114,2025-05-10 03:56:00,product_view,Fashion,Tablet,Email
115,S00115,2025-06-17 10:32:00,visit,Home,Mobile,Email
116,S00116,2025-02-14 07:03:00,visit,Beauty,Tablet,Email
116,S00116,2025-02-14 07:10:00,product_view,Home,Tablet,Social
116,S00116,2025-02-14 07:13:00,add_to_cart,Electronics,Tablet,Organic
116,S00116,2025-02-14 07:17:00,purchase,Home,Desktop,Paid Search
117,S00117,2025-02-13 00:16:00,visit,Electronics,Mobile,Social
117,S00117,2025-02-13 00:26:00,product_view,Fashion,Tablet,Organic
117,S00117,2025-02-13 00:34:00,add_to_cart,Beauty,Tablet,Direct
117,S00117,2025-02-13 00:49:00,purchase,Sports,Tablet,Direct
118,S00118,2025-02-28 20:07:00,visit,Home,Mobile,Email
118,S00118,2025-02-28 20:15:00,product_view,Home,Desktop,Direct
118,S00118,2025-02-28 20:17:00,add_to_cart,Home,Desktop,Email
118,S00118,2025-02-28 20:23:00,purchase,Home,Mobile,Organic
119,S00119,2025-04-22 23:00:00,visit,Sports,Tablet,Email
119,S00119,2025-04-22 23:09:00,product_view,Electronics,Desktop,Direct
120,S00120,2025-02-28 12:46:00,visit,Sports,Desktop,Direct
120,S00120,2025-02-28 12:47:00,product_view,Beauty,Mobile,Social
121,S00121,2025-01-16 08:26:00,visit,Sports,Tablet,Paid Search
121,S00121,2025-01-16 08:34:00,product_view,Beauty,Tablet,Direct
122,S00122,2025-03-08 05:53:00,visit,Home,Desktop,Email
122,S00122,2025-03-08 05:59:00,product_view,Sports,Mobile,Social
122,S00122,2025-03-08 06:01:00,add_to_cart,Sports,Tablet,Email
122,S00122,2025-03-08 06:13:00,purchase,Sports,Mobile,Social
123,S00123,2025-01-15 20:05:00,visit,Sports,Tablet,Paid Search
124,S00124,2025-02-26 11:25:00,visit,Beauty,Mobile,Direct
124,S00124,2025-02-26 11:27:00,product_view,Home,Tablet,Email
125,S00125,2025-03-01 19:08:00,visit,Fashion,Tablet,Direct
125,S00125,2025-03-01 19:15:00,product_view,Sports,Desktop,Organic
125,S00125,2025-03-01 19:18:00,add_to_cart,Fashion,Desktop,Email
125,S00125,2025-03-01 19:21:00,purchase,Fashion,Mobile,Social
126,S00126,2025-06-03 17:21:00,visit,Electronics,Tablet,Direct
127,S00127,2025-06-10 20:51:00,visit,Sports,Mobile,Social
128,S00128,2025-04-23 12:13:00,visit,Fashion,Tablet,Email
128,S00128,2025-04-23 12:16:00,product_view,Sports,Mobile,Email
128,S00128,2025-04-23 12:22:00,add_to_cart,Fashion,Desktop,Direct
128,S00128,2025-04-23 12:34:00,purchase,Beauty,Mobile,Direct
129,S00129,2025-02-13 12:56:00,visit,Home,Desktop,Paid Search
129,S00129,2025-02-13 13:06:00,product_view,Beauty,Desktop,Social
130,S00130,2025-04-02 13:13:00,visit,Sports,Desktop,Paid Search
130,S00130,2025-04-02 13:23:00,product_view,Fashion,Desktop,Organic
131,S00131,2025-06-09 03:04:00,visit,Home,Tablet,Organic
131,S00131,2025-06-09 03:13:00,product_view,Electronics,Desktop,Organic
132,S00132,2025-02-19 15:50:00,visit,Beauty,Tablet,Paid Search
133,S00133,2025-01-17 16:42:00,visit,Fashion,Desktop,Social
134,S00134,2025-03-17 12:42:00,visit,Electronics,Desktop,Direct
134,S00134,2025-03-17 12:49:00,product_view,Electronics,Desktop,Paid Search
134,S00134,2025-03-17 12:51:00,add_to_cart,Home,Mobile,Paid Search
134,S00134,2025-03-17 13:06:00,purchase,Beauty,Tablet,Paid Search
135,S00135,2025-05-19 03:25:00,visit,Beauty,Desktop,Direct
135,S00135,2025-05-19 03:27:00,product_view,Electronics,Desktop,Paid Search
136,S00136,2025-04-10 21:45:00,visit,Sports,Tablet,Email
136,S00136,2025-04-10 21:50:00,product_view,Fashion,Desktop,Organic
136,S00136,2025-04-10 21:57:00,add_to_cart,Sports,Desktop,Organic
136,S00136,2025-04-10 22:12:00,purchase,Beauty,Tablet,Direct
137,S00137,2025-01-03 23:48:00,visit,Sports,Tablet,Paid Search
137,S00137,2025-01-03 23:53:00,product_view,Beauty,Mobile,Direct
137,S00137,2025-01-04 00:00:00,add_to_cart,Fashion,Tablet,Organic
137,S00137,2025-01-04 00:06:00,purchase,Electronics,Tablet,Direct
138,S00138,2025-04-03 08:32:00,visit,Sports,Tablet,Organic
138,S00138,2025-04-03 08:40:00,product_view,Electronics,Tablet,Email
139,S00139,2025-02-16 04:12:00,visit,Electronics,Desktop,Organic
139,S00139,2025-02-16 04:14:00,product_view,Sports,Tablet,Social
139,S00139,2025-02-16 04:20:00,add_to_cart,Sports,Desktop,Paid Search
140,S00140,2025-05-05 15:25:00,visit,Beauty,Tablet,Email
140,S00140,2025-05-05 15:28:00,product_view,Electronics,Tablet,Email
140,S00140,2025-05-05 15:32:00,add_to_cart,Electronics,Mobile,Organic
140,S00140,2025-05-05 15:37:00,purchase,Sports,Desktop,Direct
141,S00141,2025-03-28 04:18:00,visit,Home,Mobile,Paid Search
141,S00141,2025-03-28 04:19:00,product_view,Home,Desktop,Organic
142,S00142,2025-03-21 13:04:00,visit,Beauty,Tablet,Email
143,S00143,2025-03-12 09:16:00,visit,Home,Mobile,Email
143,S00143,2025-03-12 09:22:00,product_view,Sports,Desktop,Organic
